Frame,Smoothness,MSJ,Var,DCR,Coordination_Index
30,1.8527509989920246e-07,282565500000.0,1.9101334682257787e-05,0.097378166419798,0.5
31,1.960170761478547e-07,283321400000.0,1.800638894453394e-05,0.1222892313693571,0.5
32,2.0524708143093853e-07,294692030000.0,1.653310913381645e-05,0.1262778434173777,0.5
33,2.5357934958803176e-07,275647230000.0,1.4306466008729436e-05,0.1860122749542992,0.5
34,3.909613786200926e-07,199102940000.0,1.2846602952689505e-05,0.2041193387667864,0.5
35,4.86262579674032e-07,161493580000.0,1.2734258806773405e-05,0.2563454153731976,0.5
36,5.421145627002009e-07,134713880000.0,1.3692929033754124e-05,0.2171211136149947,0.5
37,5.691833546170736e-07,120996635000.0,1.452025591552014e-05,0.2201332110090313,0.5
38,5.57116084675675e-07,118792405000.0,1.5110032062859862e-05,0.1221707939996861,0.5
39,4.783864582115408e-07,127872130000.0,1.6347261568417738e-05,0.0701046542662399,0.5
40,4.651240388521609e-07,151548790000.0,1.4186607157577302e-05,0.0627057822816976,0.5
41,5.557337935945031e-07,149424600000.0,1.204233878628583e-05,0.0461256523163076,0.5
42,5.434567256247186e-07,152330490000.0,1.207947249320256e-05,0.0459876206132375,0.5
43,5.596579301026841e-07,152685840000.0,1.170249157354346e-05,0.0485050241586171,0.5
44,5.908260592818615e-07,148588500000.0,1.1390818126106831e-05,0.0530280381048662,0.5
45,4.787529945359985e-07,144892900000.0,1.4415880499306922e-05,0.0494384226959541,0.5
46,4.133439415143794e-07,138685560000.0,1.744443832099222e-05,0.0865948024226028,0.5
47,5.121137052103313e-07,140620560000.0,1.3886236205999834e-05,0.0879239860569062,0.5
48,4.994239081491274e-07,156891710000.0,1.2762344375414149e-05,0.1114338189235122,0.5
49,5.210096919100912e-07,158749820000.0,1.2090401773988197e-05,0.0917138104434563,0.5
50,4.890170198143471e-07,162521240000.0,1.2582464040550966e-05,0.0870079084516036,0.5
51,3.767531527787597e-07,172085770000.0,1.542403407018381e-05,0.1054162775436589,0.5
52,3.828768466719642e-07,169086680000.0,1.544654413121722e-05,0.1109646307148032,0.5
53,3.7123397061396164e-07,165118840000.0,1.6313814056654674e-05,0.1419886089231085,0.5
54,3.8840526144042673e-07,162302950000.0,1.5863109042845896e-05,0.1253538384440768,0.5
55,3.714903883806068e-07,164469880000.0,1.6366879080083973e-05,0.1332072175618487,0.5
56,3.946605779663832e-07,160845330000.0,1.5753157615093716e-05,0.1513737578208549,0.5
57,4.370968788939565e-07,159349180000.0,1.4357283505594972e-05,0.1448174727478891,0.5
58,4.421110790690023e-07,157573270000.0,1.4354427266584963e-05,0.0618386959562499,0.5
59,4.357392541032948e-07,145294180000.0,1.5795191869806796e-05,0.0584834776827952,0.5
60,3.837333882706377e-07,143359660000.0,1.8177882629398147e-05,0.0429179375742448,0.5
61,3.305930884921445e-07,144478420000.0,2.0936452687733227e-05,0.0565325475533295,0.5
62,3.2849062817876895e-07,143340830000.0,2.1237674320104383e-05,0.0566352337887013,0.5
63,3.397798025593719e-07,144382050000.0,2.038398485808909e-05,0.0635857010765734,0.5
64,3.12250550679754e-07,146229940000.0,2.1900819260787425e-05,0.0850892107766673,0.5
65,3.965382427555608e-07,148929480000.0,1.6933006725639575e-05,0.0662200381817153,0.5
66,3.723009022074639e-07,176006120000.0,1.5260823935713195e-05,0.0722825813308433,0.5
67,2.7735203884170375e-07,218304200000.0,1.6516058942224036e-05,0.0722009274439616,0.5
68,2.283452106963063e-07,216839100000.0,2.019623470496038e-05,0.1042559235827743,0.5
69,2.1613851506357066e-07,215665260000.0,2.1452975866969244e-05,0.1069297183339065,0.5
70,2.1574625364363778e-07,216754880000.0,2.1383941530274584e-05,0.122137719648537,0.5
71,2.077167109124447e-07,218717780000.0,2.201123342910368e-05,0.1542802306691178,0.5
72,2.283167594541437e-07,219294600000.0,1.997258035874452e-05,0.157323572951114,0.5
73,2.170930202313882e-07,225622650000.0,2.041603208954905e-05,0.1635405257371453,0.5
74,2.120762037999219e-07,230197280000.0,2.048367034492989e-05,0.1588011302312023,0.5
75,2.512415491125176e-07,218644450000.0,1.8204132002944458e-05,0.150352932999581,0.5
76,2.2997097971918345e-07,226773520000.0,1.9174962821496484e-05,0.1013432959945585,0.5
77,2.1094873992847469e-07,229104100000.0,2.069141052232944e-05,0.1022348779522856,0.5
78,2.31265630856057e-07,222011400000.0,1.9476617895792516e-05,0.0660342577457196,0.5
79,2.0402461322846977e-07,230968970000.0,2.1220895945854047e-05,0.0410971926249792,0.5
80,1.912963446977893e-07,232537540000.0,2.2480200183218216e-05,0.0722713370416585,0.5
