Frame,Person,Keypoint_Index,Keypoint_X,Keypoint_Y
0,0,0,1033.9188,312.5028
0,0,1,1044.4562,304.75323
0,0,2,1026.2949,302.88107
0,0,3,1057.6696,312.0058
0,0,4,1013.07227,306.7669
0,0,5,1071.0337,369.45496
0,0,6,980.9464,359.13367
0,0,7,1094.1567,436.29465
0,0,8,944.2993,419.49884
0,0,9,1103.4801,496.66895
0,0,10,931.637,481.48206
0,0,11,1036.4161,504.2254
0,0,12,976.45496,500.61612
0,0,13,1048.4363,610.4778
0,0,14,960.50793,607.0472
0,0,15,1050.295,710.92914
0,0,16,950.40405,715.2685
1,0,0,1031.1184,314.1172
1,0,1,1041.0304,306.23532
1,0,2,1023.29425,305.0238
1,0,3,1053.4811,312.89923
1,0,4,1010.0526,309.26086
1,0,5,1067.1447,369.07327
1,0,6,978.03595,360.71475
1,0,7,1088.3875,430.95493
1,0,8,941.7093,417.8452
1,0,9,1098.3937,486.4834
1,0,10,925.8829,479.6206
1,0,11,1034.3525,505.8342
1,0,12,974.7508,503.1799
1,0,13,1048.0757,612.2384
1,0,14,958.4509,609.5632
1,0,15,1048.2596,711.9888
1,0,16,948.0271,717.91266
2,0,0,1031.1165,314.11664
2,0,1,1041.0292,306.23483
2,0,2,1023.2924,305.02258
2,0,3,1053.4812,312.89737
2,0,4,1010.05066,309.25766
2,0,5,1067.1416,369.07022
2,0,6,978.0377,360.71292
2,0,7,1088.4031,430.95294
2,0,8,941.70905,417.8486
2,0,9,1098.401,486.50153
2,0,10,925.8849,479.62683
2,0,11,1034.3502,505.83783
2,0,12,974.75195,503.18347
2,0,13,1048.0759,612.2437
2,0,14,958.4489,609.5712
2,0,15,1048.2579,711.9989
2,0,16,948.0237,717.92267
3,0,0,1025.4796,314.62332
3,0,1,1035.9214,306.52148
3,0,2,1017.67224,304.92993
3,0,3,1048.9596,313.1325
3,0,4,1004.1894,308.5945
3,0,5,1062.8107,370.47958
3,0,6,972.75006,361.50705
3,0,7,1085.2218,432.99994
3,0,8,939.1751,417.72183
3,0,9,1095.9994,488.0809
3,0,10,923.8592,473.58005
3,0,11,1032.956,507.20602
3,0,12,972.3467,504.63446
3,0,13,1047.7389,612.09656
3,0,14,951.62225,610.05457
3,0,15,1048.1691,711.947
3,0,16,946.84296,719.0563
4,0,0,1019.69666,310.21042
4,0,1,1030.206,302.5568
4,0,2,1012.1227,300.7109
4,0,3,1043.2942,310.35608
4,0,4,998.5489,305.3226
4,0,5,1057.3254,366.58182
4,0,6,966.75757,358.70883
4,0,7,1078.868,428.30017
4,0,8,935.27716,417.37668
4,0,9,1090.9834,483.11456
4,0,10,920.85425,474.3304
4,0,11,1029.8391,505.5055
4,0,12,968.24677,503.68536
4,0,13,1048.0378,611.0986
4,0,14,946.7785,610.5447
4,0,15,1049.9442,710.813
4,0,16,946.23834,720.3316
5,0,0,1013.8836,309.0392
5,0,1,1023.9871,300.65378
5,0,2,1005.64,299.40842
5,0,3,1036.3716,307.21924
5,0,4,991.0547,303.57977
5,0,5,1052.1724,364.8468
5,0,6,960.54846,357.5689
5,0,7,1075.234,429.78168
5,0,8,930.8711,416.8385
5,0,9,1087.7184,487.95355
5,0,10,915.2082,474.0167
5,0,11,1026.4003,504.17197
5,0,12,964.0086,502.63214
5,0,13,1049.6753,610.32745
5,0,14,944.1512,608.787
5,0,15,1050.8972,708.38214
5,0,16,946.51794,719.81506
6,0,0,1006.9996,306.12958
6,0,1,1016.5185,297.77393
6,0,2,998.02264,296.7821
6,0,3,1028.1724,304.53342
6,0,4,982.50867,302.064
6,0,5,1044.8848,361.50964
6,0,6,952.4717,359.6272
6,0,7,1069.8578,424.05838
6,0,8,922.0926,429.59253
6,0,9,1081.9694,478.34244
6,0,10,916.74286,500.21054
6,0,11,1024.1082,502.92792
6,0,12,961.36505,503.93015
6,0,13,1051.4839,606.4807
6,0,14,942.56256,610.7646
6,0,15,1053.7587,702.84656
6,0,16,947.94147,722.9006
7,0,0,1007.00354,306.13248
