,fail_normal_p,succ_normal_p,levene_p,test,test_p
Frame,0.00035464909160509706,0.0022399909794330597,0.001332994762094811,Mann-Whitney U,0.0031432183327261536
Smoothness,1.6088552001747303e-05,4.897236038914343e-08,1.2944638381672021e-18,Mann-Whitney U,5.728748711502009e-23
MSJ,1.310845043622777e-10,2.1679484234482516e-06,1.8427588585367374e-09,Mann-Whitney U,3.865142343899034e-37
Var,0.00021268412820063531,6.110090032120127e-17,0.00014461626955061132,Mann-Whitney U,1.4126509370434492e-11
DCR,3.13508469402049e-13,0.07334552705287933,3.656239860917609e-08,Mann-Whitney U,0.00021709077602024177
Coordination_Index,1.3540455388030164e-22,3.1606560088343755e-14,3.3298533354621678e-12,Mann-Whitney U,2.724388217821122e-17
