,fail_normal_p,succ_normal_p,levene_p,test,test_p
Frame,0.03199377655982971,0.0005130627541802824,1.6655390949765023e-09,Mann-Whitney U,3.252249183894335e-08
Smoothness,7.424219117084518e-13,5.091737725551438e-21,0.1527357970609956,Mann-Whitney U,0.012139552887073635
MSJ,1.5572169331790064e-06,3.196459752701636e-13,0.27296554009561635,Mann-Whitney U,0.06726950220545491
Var,0.06171204149723053,1.529832677593374e-21,0.21929105548073813,Mann-Whitney U,6.45008620386332e-05
DCR,7.812181479494029e-08,2.9008559690766678e-15,0.21734691486736393,Mann-Whitney U,0.27765014183602765
Coordination_Index,1.0777172340312169e-12,1.7475709805531847e-16,0.03589651122809836,Mann-Whitney U,0.01684051482144782
