Frame,DCR
0,0.06256113462034806
1,0.05825299590337415
2,0.058767433732480605
3,0.0787667688455756
4,0.07862594796054737
5,0.09299886073886388
6,0.09141396282772143
7,0.09413185725155235
8,0.08036905835808497
9,0.08037972848707255
10,0.07075663285317667
11,0.07186881126610674
12,0.05486022861956342
13,0.05727766592533025
14,0.05765383803963301
15,0.049263901115988246
16,0.051876835026771796
17,0.04554730649837431
18,0.06034090702940881
19,0.06068316258025833
20,0.059575720242498034
21,0.07090999068820888
22,0.07022081124395416
23,0.07677930639952789
24,0.07741738323668113
25,0.05903471115044213
26,0.0541912372178037
27,0.04699861608457088
28,0.04593308085425846
29,0.05654142330806703
30,0.06172601319487792
31,0.06333616895786508
32,0.06904269252905938
33,0.06198607476004246
34,0.06097932940867122
35,0.07279190962300494
36,0.07603808233443292
37,0.09226770386379994
38,0.051785766158494256
39,0.05116151124367421
40,0.06853046946927356
41,0.07708736359821206
42,0.08736798495150934
43,0.08047538071938738
44,0.07882008645435669
45,0.08243801701803478
46,0.05995572550074227
47,0.07607002231126778
48,0.06275089204096816
49,0.06228820100735389
50,0.0836290698288769
51,0.07804685743112608
52,0.10493873965336434
53,0.10083725462921492
54,0.11338408233106267
55,0.10997965045189427
56,0.08730707638965447
57,0.10047480282098258
58,0.10115550838758203
59,0.09529061053118174
60,0.08834913922449641
61,0.09617791202107806
62,0.11038509857912794
63,0.11107836478360017
64,0.0969979365035796
65,0.08158516924781926
66,0.07779477608267979
67,0.08034328190886834
68,0.08021744416405407
69,0.07591930804219707
70,0.06722489371507419
71,0.07040832416375543
72,0.09259940003750083
73,0.09190406005521763
74,0.10637809029224923
75,0.09655125880680315
76,0.10424207946349599
77,0.10391470673381419
78,0.1049555071080923
79,0.09889147863573151
80,0.11192702194308501
81,0.10052411541773555
82,0.09758968258513001
83,0.0982159362612374
84,0.10712930147405907
85,0.1060173006526542
86,0.08875615625095587
87,0.08121841169371322
88,0.08127013652733071
89,0.09727138644589983
90,0.10549221135283739
91,0.09444972325910923
92,0.09138849975339884
93,0.09171965856784349
94,0.08696162093510634
95,0.092442188943983
96,0.07619940385327809
97,0.0631274774859803
98,0.06293403026444572
99,0.05714893543468444
100,0.06809884496690406
101,0.047114069893369456
102,0.05065407657230368
103,0.05024242255717866
104,0.05634577954442415
105,0.0506575218654025
106,0.06805998052288234
107,0.0675701162716046
108,0.06721599016683351
109,0.05798458980138591
110,0.06416658935971377
111,0.03135542869289548
112,0.039642290448289826
113,0.03819296990567893
114,0.044602931493318815
115,0.06322919726665707
116,0.05384575890094347
117,0.05815916187859205
118,0.06002263689864515
119,0.08468219709079489
120,0.09569419000071328
121,0.08430491582875164
122,0.07820284061054358
123,0.07824020663721142
124,0.08613286035238059
125,0.07773343889438489
