Frame,Smoothness,MSJ,Var,DCR,Coordination_Index
30,3.4518566582417217e-06,10527815000.0,2.751740763887729e-05,0.0617260131948779,1.0
31,9.995837186843774e-07,11517989000.0,8.685678259377103e-05,0.063336168957865,1.0
32,1.326454089227392e-06,12273694000.0,6.142312671603399e-05,0.0690426925290593,1.0
33,4.876431980322849e-06,13058491000.0,1.5703725828569603e-05,0.0619860747600424,1.0
34,4.248756941994184e-06,13016791000.0,1.8081411684246543e-05,0.0609793294086712,1.0
35,4.565437765790609e-06,13732699000.0,1.594996317994113e-05,0.0727919096230049,1.0
36,4.405301237314455e-06,15184711000.0,1.4949131247049696e-05,0.0760380823344329,1.0
37,1.789856482905985e-06,15285999000.0,3.6549984602482206e-05,0.0922677038637999,1.0
38,4.144056337343979e-06,19231070000.0,1.254784357397888e-05,0.0517857661584942,1.0
39,9.62378853383225e-07,39727534000.0,2.615543224603957e-05,0.0511615112436742,1.0
40,1.0901648985690146e-06,42293400000.0,2.168876069420614e-05,0.0685304694692735,0.5
41,1.059355750366114e-06,41213930000.0,2.290412295512121e-05,0.077087363598212,0.5
42,4.13045722439181e-07,40796144000.0,5.934478759063523e-05,0.0873679849515093,0.5
43,5.710093428265969e-07,40984752000.0,4.273013106776496e-05,0.0804753807193873,0.5
44,2.641240065413384e-07,41532633000.0,9.11596278081572e-05,0.0788200864543566,0.5
45,1.0913422409470433e-07,42083496000.0,0.0002177344644004,0.0824380170180347,0.5
46,3.667630933067119e-07,44171680000.0,6.172630477907238e-05,0.0599557255007422,0.5
47,1.0686797313301554e-07,45116584000.0,0.0002074035434557,0.0760700223112677,0.5
48,8.802185760077208e-07,46393504000.0,2.448792099526123e-05,0.0627508920409681,0.5
49,1.2621415173230333e-06,47474328000.0,1.668908694262888e-05,0.0622882010073538,0.5
50,1.2682305332335057e-06,48055976000.0,1.6407931827337775e-05,0.0836290698288769,0.5
51,1.2102853504191363e-06,48465613000.0,1.7048178719559005e-05,0.078046857431126,0.5
52,1.1069677790910766e-06,49814475000.0,1.81346418920458e-05,0.1049387396533643,0.5
53,1.1328959235974989e-06,50987070000.0,1.7312087677656533e-05,0.1008372546292149,0.5
