Frame,DCR
0,0
1,0.08644905975367372
2,0.08686944768546016
3,0.08084072814043156
4,0.08060434720806434
5,0.09023681540751129
6,0.10018132889923935
7,0.07918663734101956
8,0.03360404836018112
9,0.029394301008573247
10,0.029475491260769444
11,0.006147475179953215
12,0.031173277229905486
13,0.03224821241190697
14,0.06297565529480531
15,0.06696377773194068
16,0.06709129780348577
17,0.08761558189599482
18,0.03790745221520769
19,0.04650026732530547
20,0.046378030284986015
21,0.02166744690472269
22,0.02164033966088932
23,0.034379904607797954
24,0.017920109089926747
25,0.004187468254122553
26,0.0005743414207386929
27,0.03225522797351513
28,0.032139698283951794
29,0.0536114162197755
30,0.039145372618640595
31,0.01204798188643588
32,0.03145558036871227
33,0.06454223376168286
34,0.06548702334373195
35,0.051085568332984395
36,0.046415363461564406
37,0.04565850298994319
38,0.0860169241179678
39,0.08107216867710315
40,0.08102412971497401
41,0.06427140112191279
42,0.0790470345574238
43,0.07865400116498307
44,0.09508060732924747
45,0.10541512348920562
46,0.10512905655131977
47,0.12271947436979067
48,0.10175995390712439
49,0.12356377444577038
50,0.10756111630222999
51,0.04880041591264983
52,0.048432281382025176
53,0.02341163501221598
54,0.022523053418250356
55,0.10955024364141148
56,0.05632410352065763
57,0.07246009171630284
58,0.07207224963445986
59,0.0264877739552723
60,0.27685838877768293
61,0
62,0.37752600310062934
63,0.3220272720847221
64,0.32075911239389465
65,0.5485734908358375
66,0.05577876877289196
67,0.04642681383338896
68,0.09822446698496913
69,0.06330430300850816
70,0.06345600204854293
71,0.135965169870982
72,0
73,0
74,0.008107794743355344
75,0.051651888726488605
76,0.0526260261984121
77,0.09375795477750984
78,0.1385571481171727
79,0.11881693313036763
80,0.10814495844940926
81,0.03525426586290346
82,0.03547468941528189
83,0.0332677794962063
84,0.05509128586635534
85,0.04926778545308595
86,0
87,0.3855473486633434
88,0.36360754245451277
89,0.004432416688390879
90,0.020801039612447166
91,0.24406956545173103
92,0.08264099124551319
93,0.026772185869732613
94,0.026259835675400658
95,0
96,0
97,0.2922796013438867
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0.08464998614273056
106,0.08254912955480545
107,0
108,0.11473220797853438
109,0.062305093272725036
110,0.10840260438972985
111,0.0039627636677895175
112,0.003888867443612491
113,0.0005050722979049475
114,0.017428407627051227
115,0.02177815287583825
116,0.08069487231254721
117,0.05834907704918614
118,0.057768039060291834
119,0.03266816294408505
120,0.029172606921462514
121,0.007887453379796142
122,0.009558846417835568
123,0.013405710198141059
124,0.013697139301239707
125,0.009517131704161616
126,0.020355201844174133
127,0.019752430879352603
128,0.025652552645940366
129,0.03393258638182087
130,0.033574052528478546
131,0.02863925403583093
132,0.024245826194397725
133,0.026371973035351236
134,0.015177485054563039
135,0.012869279352405678
136,0.012104549637193061
137,0.018213337700851776
138,0.040768679365091966
139,0.04036106476060519
140,0.03632082246900201
141,0.03169478144455813
142,0.030105162218585127
143,0.052668077030923174
144,0
145,0
146,0
147,0.02115965577238884
148,0.020220230137775484
