Frame,DCR
0,0.15799750195139392
1,0.1580993649223889
2,0.16255992655952403
3,0.14604972319336706
4,0.14851871538748304
5,0.14809547781861518
6,0.15081475774670536
7,0.1524033751373607
8,0.14592311907304564
9,0.1610593729407691
10,0.1631032369271105
11,0.16260378203894602
12,0.10518769461367963
13,0.1052323671509195
14,0.0968942874321057
15,0.10654161626201843
16,0.11387936849186621
17,0.1120503181538811
18,0.11398051651819903
19,0.11332138349160671
20,0.10583945659095859
21,0.09138748575042255
22,0.09015599486906674
23,0.08150895385245585
24,0.08380728154169814
25,0.08379658925719165
26,0.08074002872794887
27,0.08869648434042797
28,0.09318413643410636
29,0.17213689657210302
30,0.21574397881961135
31,0.2008145943904892
32,0.17717690299451017
33,0.1817456989583049
34,0.18524812405616362
35,0.1620851941044291
36,0.17605691147517663
37,0.1756488883867377
38,0.0525147262974614
39,0.009723105927937263
40,0.02301465353366519
41,0.2923370495792243
42,0.12235870497853506
43,0.12181108110543086
44,0
45,0
46,0
47,0
48,0.24409993000377567
49,0.24882510859074403
50,0
51,0
52,0
53,0.15007017086564822
54,0.013919138486061806
55,0.013866128096853251
56,0.04465801530570141
57,0.0001902114458595424
58,0.025008256080808994
59,0
60,0.22193273911404748
61,0.21463993762548178
62,0.21482696938814747
63,0.12348130036444734
64,0.07792467636387063
65,0.1314219406529819
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0.05090498818663551
76,0.05053584353590697
77,0.019066130646778753
78,0
79,0
80,0.023778696597161374
81,0
82,0.036728033707918925
83,0
84,0.03388618860935648
85,0.033671017369842855
86,0
87,0.035212376127133634
