Frame,Smoothness,MSJ,Var,DCR,Coordination_Index
30,4.907362696076596e-07,85194630000.0,2.391880140874499e-05,0.2157439788196113,1.0
31,3.528385397704147e-07,127974940000.0,2.214618348520431e-05,0.2008145943904892,1.0
32,2.3701832805187678e-07,152847000000.0,2.760330128994668e-05,0.1771769029945101,1.0
33,2.769016804238993e-07,154645900000.0,2.335263346374221e-05,0.1817456989583049,1.0
34,1.933439737820153e-07,166104190000.0,3.113785529912581e-05,0.1852481240561636,1.0
35,1.920409761910553e-07,200436470000.0,2.5979409499839572e-05,0.1620851941044291,1.0
36,1.6718350470581405e-07,201069770000.0,2.974813303452733e-05,0.1760569114751766,1.0
37,8.081171079375468e-08,400664850000.0,3.088477311361187e-05,0.1756488883867377,1.0
38,3.80781845264527e-08,1068989200000.0,2.4566903739759672e-05,0.0525147262974614,1.0
39,2.4145896956027896e-08,1238877300000.0,3.3429381175371846e-05,0.0097231059279372,0.5
40,2.378948429022501e-08,1262104600000.0,3.33057800419335e-05,0.0230146535336651,0.5
41,2.410532789813243e-08,1304846400000.0,3.179271038484544e-05,0.2923370495792243,0.5
42,2.3080015478250995e-08,1351156500000.0,3.2066993215928015e-05,0.122358704978535,0.5
43,1.808872701991026e-08,1632100300000.0,3.387233581362891e-05,0.1218110811054308,0.5
44,2.217869905762277e-08,2504619200000.0,1.8002060523430727e-05,0.0,0.5
45,9.692098978312272e-09,3281344800000.0,3.1443457048615646e-05,0.0,0.5
46,8.903665333611479e-09,3451482000000.0,3.254059981863511e-05,0.0,0.5
47,8.987928076157491e-09,3488512200000.0,3.1893351546225345e-05,0.0,0.5
48,9.14122523969434e-09,3507070400000.0,3.1192565641744275e-05,0.2440999300037756,0.5
49,8.694365974181219e-09,3655633000000.0,3.146295408579144e-05,0.248825108590744,0.5
50,8.767348763420163e-09,3702248200000.0,3.080819007943096e-05,0.0,0.5
51,8.996938589230932e-09,3720999900000.0,2.987071278701688e-05,0.0,0.5
52,9.066325839170074e-09,3755231000000.0,2.937189914287302e-05,0.0,0.5
53,8.892228654043893e-09,3971017000000.0,2.8319632900988106e-05,0.1500701708656482,0.5
54,8.107313518988998e-09,4392760400000.0,2.80792507457198e-05,0.0139191384860618,0.5
55,5.027549913022128e-09,7364046000000.0,2.7010157484057208e-05,0.0138661280968532,0.5
56,3.878036994214852e-09,11331475000000.0,2.2756296965374187e-05,0.0446580153057014,0.5
57,3.1400665894557853e-09,12789324000000.0,2.490081401743842e-05,0.0001902114458595,0.5
58,3.046359771616451e-09,12775482000000.0,2.569457950592001e-05,0.0250082560808089,0.5
59,3.00047890882327e-09,12955661000000.0,2.5724672227913857e-05,0.0,0.5
60,3.0402289064042313e-09,13024014000000.0,2.525508578548599e-05,0.2219327391140474,0.5
61,3.118084349137178e-09,13027373000000.0,2.4618143146392777e-05,0.2146399376254817,0.5
62,3.206058820043578e-09,13172073000000.0,2.3679600653126556e-05,0.2148269693881474,0.5
63,3.309009854094146e-09,13254639000000.0,2.2799956945383225e-05,0.1234813003644473,0.5
64,3.119803283647857e-09,13062835000000.0,2.453778489162089e-05,0.0779246763638706,0.5
65,2.9856528647606033e-09,12401266000000.0,2.7008138949975545e-05,0.1314219406529819,0.5
66,3.0978181735217e-09,12229717000000.0,2.6395364762356557e-05,0.0,0.5
67,3.043608539660865e-09,12324455000000.0,2.6658977528349124e-05,0.0,0.5
68,3.2382177826538874e-09,12587827000000.0,2.453257814024737e-05,0.0,0.5
69,3.546713185284504e-09,12733398000000.0,2.214265034255138e-05,0.0,0.5
70,3.4837256933024503e-09,12523549000000.0,2.2920739679582596e-05,0.0,0.5
71,3.301921533834948e-09,11656092000000.0,2.598245995422077e-05,0.0,0.5
72,3.3546893417607343e-09,10913926000000.0,2.731282873077123e-05,0.0,0.5
73,3.3457643950946246e-09,10817290000000.0,2.763033532718961e-05,0.0,0.5
74,3.449031308577251e-09,10816129000000.0,2.6805938793584736e-05,0.0,0.5
75,3.41341453109591e-09,10801439000000.0,2.7122476793390135e-05,0.0509049881866355,0.5
76,3.3485858847046677e-09,10664604000000.0,2.800230744458958e-05,0.0505358435359069,0.5
77,3.4157201246810076e-09,10621365000000.0,2.756369189541437e-05,0.0190661306467787,0.5
78,3.523427073954197e-09,10602293000000.0,2.676916897447049e-05,0.0,0.5
79,3.5565229004642573e-09,10574387000000.0,2.659005288021219e-05,0.0,0.5
80,3.6840866119479804e-09,10371304000000.0,2.6171994077586327e-05,0.0237786965971613,0.5
81,4.017068074325481e-09,9949807000000.0,2.501935837389564e-05,0.0,0.5
82,6.274624414194177e-09,6987985700000.0,2.280658467300814e-05,0.0367280337079189,0.5
83,1.6499829423241847e-08,3009641200000.0,2.0137512223559497e-05,0.0,0.5
84,4.2523378252476194e-08,1515575700000.0,1.551652934022209e-05,0.0338861886093564,0.5
85,4.150346786681627e-08,1484328400000.0,1.6232506967471624e-05,0.0336710173698428,0.3333333333333333
86,4.6008448012032746e-08,1280459100000.0,1.6974487475704443e-05,0.0,0.3333333333333333
87,4.691093904216901e-08,1210707100000.0,1.7607056984566618e-05,0.0352123761271336,0.5
